,Turkish,English
4236,geliyordu,was coming
4237,oysa,whereas
4238,dil,tongue
4239,midir,is it
4240,sorma,dont ask
4241,arkasından,behind
4242,aldığın,you buy
4243,sabahın,in the morning
4244,bilgiyi,information
4245,olabildiğince,as much as possible
4246,michelle,Michelle
4247,ortalıkta,around
4248,altındaki,under
4249,vermiştim,I gave
4250,terörist,terrorist
4251,buysa,if that's
4252,konuşan,speaking
4253,evvel,before
4254,lı,lucinous
4255,çıkarmaya,to remove
4256,jennifer,Jennifer
4257,eşit,same
4258,gay,gay
4259,arkadan,behind
4260,köle,slave
4261,ahmak,idiot
4262,kang,kang
4263,seç,select
4264,sınıfta,in the class
4265,istemediğini,you don't want
4266,toplantısı,meeting
4267,av,hunting
4268,albert,Albert
4269,yapılması,to be done
4270,tuzağa,to the trap
4271,savaşçı,fighter
4272,yetmez,not enough
4273,gibbs,Gibbs
4274,geçirmiş,spent
4275,geçtim,I passed
4276,sesli,loud
4277,sanıyorsunuz,you think
4278,olurlar,they are
4279,töreni,ceremony
4280,başardım,I succeeded
4281,getirecek,will bring
4282,etmedin,you didn't
4283,diane,Diane
4284,bitiyor,ends
4285,oyunun,your game
4286,soygun,robbery
4287,davran,act
4288,teknoloji,technology
4289,alana,to the field
4290,korkmuyorum,I'm not afraid
4291,nancy,nancy
4292,francis,Francis
4293,ömür,lifetime
4294,ölüyorum,I'm dying
4295,halkı,people
4296,dediğine,what you say
4297,hepinize,to all of you
4298,yarına,for tomorrow
4299,audrey,Audrey
4300,huh,huh
4301,sizlere,to you
4302,durdurun,Stop
4303,anlamıyla,literally
4304,İncil,Bible
4305,sivil,civilian
4306,zorundaydım,I had to
4307,İsmi,Name
4308,düşünüyorlar,they think
4309,sürüyor,progress
4310,bırakacağım,I will quit
4311,buluşma,meeting
4312,hakkın,your right
4313,sağladı,provided
4314,kadınlara,To women
4315,konuştu,spoke
4316,lou,lou
4317,aaron,Aaron
4318,meşhur,famous
4319,yanıt,response
4320,hakkını,right
4321,lideri,leader
4322,joseph,Joseph
4323,almadım,I did not take
4324,delirdin,You were crazy
4325,ödemek,pay
4326,doldu,filled
4327,yazmış,written
4328,kapıları,gates
4329,kaçırdım,I missed it
4330,merkezine,to the center
4331,mösyö,monsieur
4332,duyabiliyor,can hear
4333,devamlı,continuous
4334,ailesini,family
4335,kalbimi,my heart
4336,sinirli,annoyed
4337,amma,pure
4338,memuru,officer
4339,duymuş,heard
4340,satmak,to sell
4341,uyanık,awake
4342,hepinizin,all of you
4343,simdi,now
4344,kurallar,rules
4345,gördüğü,what he sees
4346,angel,Angel
4347,içimde,inside me
4348,sessizce,quietly
4349,kokain,cocaine
4350,herhâlde,I suppose
4351,petrol,oil
4352,abla,older sister
4353,işime,for my work
4354,bittiğini,that it is over
4355,kiliseye,to the church
4356,yaşına,to age
4357,masaya,on the table
4358,yapmaktan,from doing
4359,binanın,building
4360,eti,flesh
4361,şahane,wonderful
4362,mecbur,forced
4363,karanlıkta,in the dark
4364,konuya,to the subject
4365,delikanlı,lad
4366,sevmiyor,does not like
4367,gidemezsin,You can't go
4368,yazılı,written
4369,gönderdim,I sent
4370,çektim,I pulled
4371,hissettiriyor,makes you feel
4372,şüphesiz,no doubt
4373,öfke,anger
4374,ikimizin,two of us
4375,muazzam,enormous
4376,aktif,active
4377,babasını,his father
4378,bildin,you knew
4379,işiniz,Your job
4380,aklı,mentally
4381,başarı,success
4382,vermedim,I didn't give
4383,politik,political
4384,dolusu,full of
4385,çekiyorum,I'm pulling
4386,müsait,free
4387,toby,TOBY
4388,gözlerin,Your eyes
4389,aklımdan,from my mind
4390,muydunuz,Were you
4391,döndüğünü,that he returned
4392,öldürüyor,killing
4393,benimkini,mine
4394,barbara,barbara
4395,içecek,drink
4396,kanada,Canada
4397,alması,receiving
4398,işlerin,Your work
4399,r,r
4400,verdiniz,you gave it
4401,zamanını,your time
4402,oturma,sitting
4403,sesler,sounds
4404,ruhunu,your soul
4405,tanıştığıma,I met
4406,sayfa,page
4407,hatırlamıyor,does not remember
4408,herifler,guys
4409,avcı,Hunter
4410,hepinizi,all of you
4411,anlaşmayı,agreement
4412,marshall,Marshall
4413,İstediğim,What I want
4414,hı,what
4415,veriyoruz,we give
4416,birbirlerini,each other
4417,İşim,Name
4418,dinliyor,listening
4419,avukatı,lawyer
4420,raymond,raymond
4421,saçlı,haired
4422,porno,porn
4423,yaparlar,they do
4424,ağrıyor,it hurts
4425,ederdi,would have
4426,odama,my room
4427,yetenek,talent
4428,karısını,his wife
4429,yasadışı,illegal
4430,zehirli,toxic
4431,yemiş,eaten
4432,sayıda,numerical
4433,olayını,event
4434,aday,applicant
4435,ton,ton
4436,kum,Annual
4437,arkadaşımın,my friend's
4438,yardımın,Your help
4439,bilimsel,scientific
4440,sıraya,in line
4441,maya,Maya
4442,olumlu,positive
4443,hakkım,my right
4444,yakaladık,we caught
4445,pencereden,through the window
4446,arabam,My car
4447,şekli,shape
4448,bulabilirim,I can find
4449,istediler,they wanted
4450,sevgilisi,lover
4451,bölgesi,region
4452,düşünür,thinker
4453,gitsem,If I go
4454,otele,Hotel
4455,sürmez,unmistakable
4456,jean,Jean
4457,jacob,jacob
4458,minnettar,grateful
4459,bekleme,wait
4460,evlenme,marriage
4461,doğruca,straight
4462,kızının,your daughter
4463,hatırla,Remember
4464,kasabaya,to town
4465,zar,dice
4466,işbirliği,partnership
4467,gözle,eye -catching
4468,görünmez,invisible
4469,seviyoruz,we love
4470,şeyini,your thing
4471,mars,anthem
4472,kızımın,my daughter
4473,eva,eva
4474,oynamaya,playing
4475,kendilerine,themselves
4476,hatası,error
4477,borçlu,debtor
4478,istemiş,wanted
4479,öldüğünde,When he dies
4480,aradın,You called
4481,hong,hong
4482,orman,Forest
4483,durumunu,status
4484,birisiyle,with someone
4485,uçan,flying
4486,sağlar,provides
4487,elma,apple
4488,fotoğrafını,photo
4489,logan,logan
4490,İtalya,Italy
4491,miydiniz,Were you
4492,bedelini,price
4493,hediyesi,gift
4494,pazarlık,bargain
4495,ötesinde,beyond
4496,hocam,my teacher
4497,İstemiyorum,I don't want
4498,ikiye,in two
4499,bildiğiniz,you know
4500,gitmesini,to go
4501,bulana,to the one who finds
4502,koruyucu,protector
4503,şov,show
4504,bakanlığı,ministry
4505,b1,B1
4506,haberlerim,my news
4507,keser,cut
4508,yöne,in the direction
4509,sonradan,later
4510,adres,address
4511,kanıtı,evidence
4512,riley,Riley
4513,öğren,learn
4514,vurdum,I hit
4515,oksijen,oxygen
4516,ofisi,office
4517,gönderin,send
4518,sakla,hide
4519,vuruldu,was shot
4520,çıkardım,I took it out
4521,çalışması,work
4522,hazırla,prepare
4523,verirseniz,if you give
4524,yarayacak,will be useful
4525,söylediniz,you said
4526,yapmasını,to do
4527,margaret,margaret
4528,sağlayan,providing
4529,görgü,manners
4530,yavrum,my baby
4531,yaşındasın,you are old
4532,woo,woo
4533,çalışıyorsunuz,you work
4534,yemekten,from meal
4535,evinin,Your house
4536,öz,self
4537,sesin,Your voice
4538,yanından,by the side of
4539,söylüyorsunuz,you say
4540,yüze,to the face
4541,televizyonda,on TV
4542,eşyaları,items
4543,çıkarken,on the way out
4544,bozucu,disruptive
4545,öp,kiss
4546,tarafına,on the side of
4547,wendy,Wendy
4548,keith,keith
4549,söylediklerini,what you say
4550,girmeye,to enter
4551,üzülme,Do not be sad
4552,döndüğünde,When you return
4553,terfi,promotion
4554,mutfakta,in the kitchen
4555,plastik,plastic
4556,devasa,colossal
4557,kalem,pen
4558,hoşlanmıyorum,I do not like
4559,çocuklarım,my children
4560,ooh,ooh
4561,olursak,if you
4562,süren,exhausting
4563,bitince,when finished
4564,yapıyordun,you were doing
4565,sırrı,secret
4566,kent,city
4567,olayları,events
4568,mickey,mickey
4569,düşündü,thought
4570,hesabı,account
4571,görevim,my duty
4572,duman,smoke
4573,vurdun,you hit
4574,ok,arrow
4575,edebilecek,it can be
4576,dönmem,I don't return
4577,kaçıyor,escaping
4578,şahsen,personally
4579,annesini,his mother
4580,kararını,decision
4581,eylül,September
4582,yapmıyor,does not do
4583,kalmayı,to stay
4584,başkaları,others
4585,çoğunlukla,mostly
4586,kalması,to remain
4587,rüşvet,bribe
4588,soruyor,asks
4589,kalmasını,to stay
4590,kalırsa,if it remains
4591,cesedini,his body
4592,sorunlar,problems
4593,ağacı,tree
4594,spencer,Spencer
4595,cehennemde,in hell
4596,kullanma,use
4597,üniversitesi,university
4598,fikrimi,my idea
4599,florida,Florida
4600,yürüyüşe,walking
4601,dönüyorum,I'm going back
4602,garson,waiter
4603,victoria,Victoria
4604,dı,it was
4605,aykırı,against
4606,köprü,bridge
4607,malcolm,Malcolm
4608,renkli,colourful
4609,berlin,Berlin
4610,virüs,virus
4611,ek,additional
4612,gözler,eyes
4613,edersiniz,you will
4614,büyüleyici,fascinating
4615,dönem,period
4616,lewis,lewis
4617,derse,class
4618,gözlerimi,my eyes
4619,olmasının,to be
4620,emniyet,safety
4621,çıkarıp,take off
4622,tanıklık,testimony
4623,kaplan,Tiger
4624,atıp,throwing away
4625,bahane,excuse
4626,gül,rose
4627,penny,penny
4628,kutlu,blessed
4629,holly,Holly
4630,ağrı,ache
4631,söylememi,not to say
4632,stephen,Stephen
4633,yavru,baby
4634,giren,entering
4635,seçeneğim,My option
4636,yemeye,to eat
4637,kullanmayı,to use
4638,olabilirsiniz,You can be
4639,çalıştın,you worked
4640,açar,opens
4641,istiyorsa,if he wants
4642,arkadaşız,WE ARE FRIENDS
4643,imza,signature
4644,dertte,in trouble
4645,arkadaşımı,my friend
4646,olmanız,you have
4647,kimliği,identity
4648,herifi,halifi
4649,gitmişti,he was gone
4650,kurulu,installed
4651,anlıyorsun,you understand
4652,fakir,poor
4653,duruyorum,I'm standing
4654,siktiğimin,I fucked
4655,bekliyorlar,they are waiting
4656,etmeyecek,will not
4657,malı,financial
4658,dinleme,listening
4659,miles,Miles
4660,telefonun,Your phone
4661,neil,neil
4662,bunlarla,with them
4663,şefi,chief
4664,mutsuz,unhappy
4665,ekstra,extra
4666,leonard,Leonard
4667,matematik,math
4668,ann,Ann
4669,diyeceksin,you will say
4670,dizi,soap opera
4671,çarşamba,wednesday
4672,bonnie,Bonnie
4673,bensiz,without me
4674,düşünsene,imagine
4675,kilit,lock
4676,hayran,fan
4677,elindeki,in your hand
4678,gücün,your power
4679,yazmak,to write
4680,sözler,words
4681,do,do
4682,babacığım,daddy
4683,yem,bait
4684,harold,Harold
4685,uydu,satellite
4686,işareti,sign
4687,aynısı,the same
4688,saçını,your hair
4689,pat,scatter
4690,ada,island
4691,beklemiyordum,I did not expect
4692,örneği,example
4693,dostlarım,my friends
4694,altını,gold
4695,gidiyorlar,they are going
4696,öldükten,after death
4697,taciz,abuse
4698,çoğunu,most
4699,şiddetli,severe
4700,kullandığı,used
4701,yapmana,to do
4702,aptallık,stupidity
4703,gidemem,I can not go
4704,jonathan,Jonathan
4705,almaz,uninterrupted
4706,ortalığı,attempt
4707,aralar,intervals
4708,connor,Connor
4709,kutlama,celebration
4710,nehir,river
4711,tanımıyorsun,you don't know
4712,attın,you threw
4713,çaba,effort
4714,nasılsa,somehow
4715,takdirde,in case
4716,harikasın,You are great
4717,hakaret,insult
4718,çekmeye,to pull
4719,bakım,care
4720,şansını,your chance
4721,monica,monica
4722,dediniz,you said
4723,göreve,to duty
4724,salonu,hall
4725,kaybolmuş,lost
4726,tina,tina
4727,şeklinde,shaped
4728,duruyordu,it was standing
4729,kaçış,escape
4730,sözleri,words
4731,jung,jung
4732,konuşuyoruz,we are talking
4733,imkânsız,impossible
4734,russell,Russell
4735,işle,work
4736,versin,give me
4737,düşündük,we thought
4738,iyiliği,goodness
4739,grant,Grant
4740,köpekler,dogs
4741,konuşurum,I talk
4742,mutfak,kitchen
4743,bulacak,will find
4744,başardı,SUCCESSFUL
4745,allison,allison
4746,olmayacağını,that
4747,idam,execution
4748,tahta,wood
4749,kendimden,from myself
4750,düzen,order
4751,şeyde,in what
4752,bitirdim,I finished
4753,nasil,how
4754,çıkacağım,I will go out
4755,başladılar,they started
4756,böylesine,such
4757,devletler,states
4758,defalarca,repeatedly
4759,yaşındayım,I am old
4760,aklımı,my mind
4761,internet,Internet
4762,ölümünden,from death
4763,owen,Owen
4764,julian,Julian
4765,işinde,at work
4766,önemlidir,important
4767,haklıydı,was right
4768,rolü,role
4769,fotoğrafları,photos
4770,bulabiliriz,we can find
4771,başlama,start
4772,gelecekte,in the future
4773,kafan,your head
4774,ofis,office
4775,olmadım,I was not
4776,severdi,He used to love
4777,dansı,dance
4778,arkadaşlarını,your friends
4779,sayede,thanks to
4780,gelemem,I can not come
4781,papa,pope
4782,beden,Body size
4783,vermen,vermen
4784,sammy,sammy
4785,altyazı,subtitle
4786,değiştirdim,I change it
4787,belirsiz,uncertain   
4788,ettiğiniz,you are
4789,oldugunu,that
4790,silahın,Your weapon
4791,vermedin,you did not give
4792,değişim,change
4793,adet,piece
4794,bahar,spring
4795,tanırım,I know
4796,çiçekler,flowers
4797,boku,shit
4798,bağla,connect
4799,gözlerim,my eyes
4800,inkar,denial
4801,olumsuz,negative
4802,gabriel,Gabriel
4803,gelirken,on the way
4804,caddesi,Street
4805,aramızdaki,between us
4806,düşen,falling
4807,dick,dick
4808,gördüğümü,what I see
4809,önünden,in front of
4810,kahverengi,Brown
4811,götürür,it takes
4812,mason,mason
4813,okuma,read
4814,konuşmalıyım,I have to talk
4815,atmaya,to throw
4816,filmin,Your movie
4817,ölümden,from death
4818,elli,fifty
4819,ken,city
4820,lazımdı,needed
4821,veriyorlar,they are giving
4822,bİr,a
4823,vermiyorsun,you don't give
4824,elleri,hands
4825,genetik,genetic
4826,kaçıp,escaping
4827,kardeşler,siblings
4828,sırt,back
4829,duyduk,we heard
4830,teker,wheel
4831,savcı,prosecutor
4832,doktorun,Your doctor
4833,demin,just now
4834,ticaret,trade
4835,iyiyiz,we are good
4836,erkenden,early
4837,keyfini,enjoyment
4838,durmadan,non-stop
4839,bulduğumuz,we found
4840,paylaşmak,to share
4841,sıkıldım,I am bored
4842,bulunuyor,is located
4843,williams,Williams
4844,verirsin,you give
4845,bencil,selfish
4846,uzmanı,professional
4847,travis,travis
4848,düşünmedim,I didn't think
4849,yiyor,eating
4850,şiir,poem
4851,dükkanı,shop
4852,yakaladı,caught
4853,gösterin,show
4854,edilecek,to be
4855,diyeyim,let me say
4856,kullandım,I used it
4857,ihbar,notice
4858,İspanya,Spain
4859,sayısı,number
4860,arıyorlar,they are looking for
4861,hapisten,from imprisonment
4862,kurabiye,cookie
4863,sör,sir
4864,kaldığını,that you stay
4865,anlarım,I understand
4866,arkadaşına,to your friend
4867,bilmez,unknown
4868,babanız,your father
4869,açıldı,opened
4870,eninde,width
4871,diyordum,I was saying
4872,sokağa,to the street
4873,çıkacağız,we will go out
4874,yapmıştım,I have done
4875,azıcık,little
4876,konuşur,speaks
4877,dinlen,rest
4878,diğerlerini,others
4879,olmamalı,should not be
4880,görevlisi,officer
4881,baktı,he looked
4882,dünyadan,from the world
4883,tanesini,grain
4884,koltuk,seat
4885,çamaşır,washing
4886,earl,Earl
4887,that,That
4888,kalbin,Your heart
4889,durumunda,in the case of
4890,başkasına,to someone else
4891,toplum,society
4892,öldürün,Kill
4893,ortağı,partner
4894,aradığını,what you are looking for
4895,çocuklarını,their children
4896,şahit,witness
4897,kötülük,evil
4898,benle,with me
4899,bakarak,looking at
4900,gittiğinde,when you go
4901,oldunuz,you became
4902,aklımda,On my mind
4903,evrenin,The universe
4904,yapabileceğin,you can do
4905,gösterecek,will show
4906,düşmanı,enemy
4907,dakikalığına,for minutes
4908,karşınızda,here
4909,otomatik,automatic
4910,jules,Jules
4911,elle,by hand
4912,virginia,virginia
4913,uyumak,to sleep
4914,kuvvetli,powerful
4915,bense,me
4916,blake,blade
4917,kapandı,closed
4918,durmak,stop
4919,kullandı,used
4920,booth,booth
4921,özleyeceğim,I will miss
4922,getiririm,I bring it
4923,buluşalım,let's meet
4924,diyebilirsin,You can say
4925,tersine,backwards
4926,yapabilecek,can do
4927,yolumdan,from my way
4928,yapımı,construction
4929,düzine,dozen
4930,anlatacak,will tell
4931,bire,I'd like to send a message by e-mail
4932,istediklerini,what they want
4933,randevum,my appointment
4934,deneyeceğim,I will try
4935,ji,ji
4936,çıktığında,when it comes out
4937,evinden,from home
4938,geçiş,transition
4939,yorum,comment
4940,lâzım,required
4941,bulabilir,can find
4942,sizsiniz,you are
4943,düzelecek,It will be fine
4944,dostlar,friends
4945,kaya,rock
4946,kimyasal,chemical
4947,taşıyor,carrying
4948,yolladı,sent
4949,oldular,they were
4950,kutusu,box
4951,kuvvetleri,forces
4952,makul,reasonable
4953,masanın,your table
4954,kaybedecek,will lose
4955,kalıcı,permanent
4956,şehirdeki,in the city
4957,üzereyim,I'm about to
4958,kitty,Kitty
4959,oturmak,to sit
4960,kesip,cutting
4961,bilmiyordu,He didn't know
4962,sen.,joyful.
4963,savaşmak,make war
4964,şampiyon,champion
4965,haksızlık,injustice
4966,almıyor,does not take
4967,alamıyorum,I can't get it
4968,pas,rust
4969,ruth,Ruth
4970,christine,Christine
4971,hallederiz,we can handle
4972,bağışlayın,forgive
4973,bahset,mention
4974,tartışma,argument
4975,zorundasınız,you have to
4976,öğretti,taught
4977,birisine,to someone
4978,anlamını,its meaning
4979,düştüm,I fell
4980,dong,dong
4981,sağır,deaf
4982,söylüyordu,he was saying
4983,dışarıdan,from outside
4984,aah,Aah
4985,çatlak,crack
4986,tanıştık,we met
4987,california,California
4988,belirli,clear
4989,sabırlı,patient
4990,okudun,you read
4991,koyu,dark
4992,benzeyen,similar
4993,espri,humor
4994,konuşması,speech
4995,izlemeye,to watch
4996,tadına,to taste
4997,olmasından,from being
4998,eşek,donkey
4999,bulursun,you find
5000,samimi,sincere
5001,bart,Bart
5002,oturan,sitting
5003,masada,on the table
5004,duyarım,I hear
5005,liste,list
5006,sokaklarda,on the streets
5007,kanıtlar,evidence
5008,diyoruz,we say
5009,kralın,your king
5010,norman,Norman
5011,megan,megan
5012,bara,bar
5013,kızarmış,fried
5014,şartlı,conditional
5015,keyif,pleasure
5016,rory,rory
5017,phoebe,phoebe
5018,demiyorum,I'm not saying
5019,kata,kata
5020,travma,trauma
5021,zekalı,witted
5022,gelmeni,you come
5023,İmkansız,Impossible
5024,söylersen,If you say
5025,olmadığından,because there is no
5026,geçtiğini,that
5027,İyice,Thoroughly
5028,arasından,through
5029,paige,Paige
5030,kaynak,source
5031,kişiyle,with the person
5032,icat,invention
5033,söylemiyorsun,you don't say
5034,döndüğümde,When I return
5035,sandalye,chair
5036,çantayı,the bag
5037,harris,Harris
5038,barney,barney
5039,dayak,beating
5040,hayali,imaginary
5041,aileden,from the family
5042,bırakacak,will leave
5043,anki,current
5044,ediliyor,is
5045,komuta,command
5046,black,black
5047,elliot,Elliot
5048,sin,Sin
5049,açıklaması,explanation
5050,yaşadığım,I lived
5051,bulduğunu,that you found
5052,başkasını,someone else
5053,öldürülmüş,murdered
5054,yaşama,legislative
5055,İçine,Into
5056,kolu,branch
5057,fıstık,peanut
5058,çıkabilir,can be released
5059,white,white
5060,seçti,choosed
5061,uğradım,i stopped by
5062,güneşin,your sun
5063,ima,glance
5064,dahası,moreover
5065,alamam,I can't get
5066,tara,tara
5067,dikkate,in mind
5068,biçim,format
5069,endişeli,worried
5070,kullanılan,used
5071,razı,willing
5072,yazdı,Wrote
5073,liam,liam
5074,geçit,passage
5075,bo,Bo
5076,vermeyin,do not give
5077,oynayalım,let's play
5078,house,House
5079,eğitimi,training
5080,lincoln,Lincoln
5081,şunun,this
5082,my,my
5083,uzaklara,far away
5084,ülkeyi,the country
5085,walt,Walt
5086,açma,opening
5087,yararı,use
5088,kalkıp,up and get up
5089,gözüm,My eye
5090,adamımız,Our man
5091,buradasınız,You are here
5092,shane,shane
5093,istedikleri,what they want
5094,buradalar,They are here
5095,yapmanın,do not
5096,savaştan,from the war
5097,dayanamıyorum,I can not stand
5098,francisco,Francisco
5099,piyano,piano
5100,kızlara,To girls
5101,çıkarıyor,it takes off
5102,yolcu,traveller
5103,bulacaksın,you will find
5104,girme,entering
5105,kendimize,ourselves
5106,sonunu,end
5107,amcam,my uncle
5108,muhtemel,likely
5109,ofiste,in the office
5110,hatırladığım,I remember
5111,geçirdik,we spent
5112,alanında,in the field
5113,haftalık,weekly
5114,alphahff,alphahff
5115,anladık,we understand
5116,çalar,player
5117,listesini,list
5118,olabiliyor,can be
5119,düşünmeden,without thinking
5120,kendisinin,his own
5121,alamazsın,you can't get
5122,çaresiz,hopeless
5123,vermiştin,you gave
5124,oğlunuz,Your son
5125,sersem,giddy
5126,hitap,appeal
5127,kıçına,to your ass
5128,büyücü,Wizard
5129,konuşacağız,we will talk
5130,arkadaşlık,friendship
5131,biziz,we are
5132,aslan,Lion
5133,seth,seth
5134,çalışmış,worked
5135,görebiliyor,can see
5136,saatten,from time to time
5137,kiralık,for rent
5138,çalmaya,to play
5139,aralarında,between them
5140,gerçekçi,realistic
5141,görme,seeing
5142,şart,must
5143,vücudu,her body
5144,beynini,your brain
5145,nerelerdeydin,where were you
5146,yaptığınızı,what you do
5147,diliyorum,I wish
5148,orijinal,original
5149,kardeşine,to your brother
5150,eğlenceliydi,it was fun
5151,saldırdı,attacked
5152,stanley,Stanley
5153,eleman,Workman
5154,miktar,quantity
5155,burun,nose
5156,tamamıyla,fully
5157,kaybol,disappear
5158,çatı,roof
5159,tekrardan,again
5160,olmaları,to be
5161,elden,from hand
5162,ikinizin,two of you
5163,kapıda,at the door
5164,kurusu,dryness
5165,riskli,risky
5166,kurallara,to the rules
5167,çaldın,you stole
5168,bulamadık,we could not find
5169,yayın,broadcasting
5170,avuç,handful
5171,diyeceğimi,I will say
5172,kuzenim,my cousin
5173,korkmuş,frightened
5174,ulaşmaya,to reach
5175,görevin,your duty
5176,karl,Karl
5177,bakarız,we'll see
5178,dönme,rotation
5179,göreceğim,I will see
5180,başlamıştı,it started
5181,bekar,single
5182,blok,block
5183,birimiz,one of us
5184,boşanma,divorce
5185,bahis,bet
5186,kurbanı,victim
5187,erkekleri,men
5188,şehirden,from the city
5189,sevgilin,your girlfriend
5190,malzeme,material
5191,quinn,Quinn
5192,görüp,see and see
5193,kulüp,club
5194,çalışmayı,to work
5195,etkisiz,ineffective
5196,yaptığımızı,what we did
5197,belası,scourge
5198,bayramı,feast
5199,kabus,nightmare
5200,saygısızlık,disrespect
5201,konsantre,concentrated
5202,yoldaş,comrade
5203,stres,stress
5204,mıydınız,Were you
5205,ilgileniyor,is interested
5206,yazın,in summer
5207,bağışla,donate
5208,teksas,Texas
5209,jen,Jen
5210,çalan,ringing
5211,x,x
5212,çelik,steel
5213,işimize,for us to work
5214,clay,clay
5215,veremeyiz,we cannot give
5216,istifa,resignation
5217,odamda,in my room
5218,papaz,priest
5219,sorayım,let me ask
5220,kaliforniya,California
5221,gidiyordu,was going
5222,izleyin,watch
5223,almıştı,had taken
5224,göndermek,to send
5225,neredeler,where are they
5226,kasa,till
5227,kontrolden,out of control
5228,patronun,Your boss
5229,anthony,Anthony
5230,oynamayı,playing
5231,ailesine,to his family
5232,flört,flirt
5233,saatlik,hourly
5234,çağırın,Call
5235,şerefine,in honor of
5236,hakları,rights
5237,diyen,saying
5238,olanların,what happened
5239,allahım,God
5240,jersey,Jersey
5241,çalışın,work
5242,zararı,damage
5243,silahla,with a gun
5244,arabamı,my car
5245,kızlarla,with girls
5246,soruları,questions
5247,bilseydim,If I knew
5248,hayatıma,to my life
5249,resimleri,pictures
5250,aklım,my mind
5251,çorba,soup
5252,personel,employee
5253,açıklıyor,explains
5254,çalışacak,will work
5255,yapardın,you would do
5256,taklit,imitation
5257,hoşçakalın,goodbye
5258,borçlusun,you owe
5259,nedenmiş,why
5260,salla,shaking
5261,şeytani,demonic
5262,içeriye,inside
5263,dışarda,out
5264,uzaklaş,go away
5265,bağlantılı,connected
5266,mm,mm
5267,röportaj,report
5268,sudan,Sudan
5269,dünyası,world
5270,hap,pill
5271,kanal,channel
5272,nerdeyse,almost
5273,tracy,tracy
5274,buluyorum,I find
5275,aramayı,search for
5276,İşimi,My job
5277,yatmak,to lie down
5278,kayıtlarını,records
5279,gelmen,coming
5280,pratik,practice
5281,etsem,if I do
5282,yıldızlar,stars
5283,kısım,part
5284,finn,Finn
5285,anlayabiliyorum,I can understand
5286,kazası,accident
5287,partide,in the party
5288,bitirelim,Let's finish
5289,ricky,ricky
5290,dolayısıyla,therefore
5291,endişelenmeyin,do not worry
5292,yönetici,executive
5293,mitch,Mitch
5294,mulder,Mulder
5295,hill,hill
5296,sinemaya,to the cinema
5297,götüreyim,let me take it
5298,çıkart,subtraction
5299,almalıyız,we should take
5300,ardında,behind
5301,ameliyatı,surgery
5302,edecekler,they will
5303,şantaj,blackmail
5304,geleyim,let me come
5305,şuradan,out of here
5306,christopher,Christopher
5307,göründüğü,it appears
5308,aileni,your family
5309,bozuldu,broken
5310,delice,madly
5311,kulübe,Shack
5312,kalkın,get up
5313,philip,Philip
5314,ilacı,medicine
5315,kalmıştı,he had stayed
5316,düşünecek,will think
5317,deniyorum,I am trying
5318,İn,Of
5319,işık,light
5320,yapmıyorsun,you don't do
5321,güçleri,their powers
5322,transfer,transfer
5323,natalie,Natalie
5324,ekselansları,His Excellency
5325,bilemedim,I didn't know
5326,içini,inside
5327,inek,cow
5328,yaşamayı,to live
5329,Apr-30,APR-30
5330,mesafe,distance
5331,yapacağı,to do
5332,defolun,Remove
5333,hareketi,movement
5334,kasabanın,Your town
5335,yaramadı,did not work
5336,mudur,manager
5337,holmes,Holmes
5338,sapan,sling
5339,ben-,I-
5340,sayende,thanks
5341,konuştuğunu,that you speak
5342,twitter,twitter
5343,ajanı,agent
5344,g,g
5345,bakıma,to care
5346,geldiğim,I came
5347,kullanıyorsun,you use it
5348,geciktim,I am late
5349,olduğunca,as much as
5350,duyamıyorum,I can not hear
5351,cinayetten,from the murder
5352,paramız,Our money
5353,operasyonu,operation
5354,dawson,DAWSON
5355,deyin,say
5356,vermesi,giving
5357,öğrenmeye,to learn
5358,istemek,request
5359,köşeye,to the corner
5360,neyim,what am I
5361,gloria,gloria
5362,yakıt,fuel
5363,açıklamak,explain
5364,dayanarak,based on
5365,açısından,in terms of
5366,birdenbire,suddenly
5367,konuşup,talk and talk
5368,bahsetmiyorum,I'm not talking
5369,muayene,peak
5370,oradaydım,I was there
5371,denemeye,to try
5372,öleceksin,you will die
5373,saklamak,to hide
5374,biyolojik,biological
5375,iğne,needle
5376,düşündüğümü,what I think
5377,tanımak,to recognise
5378,İleri,Forward
5379,devreye,to the circuit
5380,alınmış,taken
5381,hazine,treasure
5382,gri,Grey
5383,akşama,hitch
5384,içten,sincere
5385,hafıza,memory
5386,İtiraz,Objection
5387,alfa,alpha
5388,pisliği,dirty
5389,ölmesini,to die
5390,doğa,nature
5391,konuşayım,let me talk
5392,İndir,Download
5393,alev,flame
5394,karımın,my wife
5395,gelirdi,would come
5396,tatile,on vacation
5397,şimdiki,present
5398,saatin,clock
5399,gidersen,If you go
5400,istediğinizi,what you want
5401,ettiğimiz,what we do
5402,sihir,Magic
5403,gitmemi,I don't go
5404,olmamıştı,it didn't happen
5405,kullanıyorum,I use
5406,istiyormuş,he wanted
5407,iade,return
5408,kriz,crisis
5409,şeytanın,Satan
5410,sent,syntheet
5411,sıvı,liquid
5412,hüküm,provision
5413,kalmamış,not left
5414,beyzbol,baseball
5415,yollar,roads
5416,bulma,find
5417,şık,stylish
5418,hallettim,I took care of
5419,günlüğüne,to diary
5420,izlerini,traces
5421,ürkütücü,eerie
5422,sevmez,does not like
5423,asil,royal
5424,almalıyım,I should buy
5425,hücre,cell
